epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,5491.2,0.82623,0.62821,1.43205,0.8088,0.85088,0.86969,0.5316,1.47459,0.89522,1.68752,0.001274,0.001274,0.001274
57,5592.28,0.83112,0.60787,1.42756,0.84932,0.80263,0.86887,0.52681,1.3964,0.80675,1.62365,0.0012608,0.0012608,0.0012608
58,5686.02,0.80945,0.6112,1.4088,0.79324,0.82456,0.86055,0.53049,1.35777,0.77205,1.53677,0.0012476,0.0012476,0.0012476
59,5785.05,0.81096,0.60334,1.40243,0.83434,0.78509,0.86502,0.51066,1.4137,0.78864,1.65254,0.0012344,0.0012344,0.0012344
60,5884.62,0.81689,0.61293,1.41802,0.77773,0.82873,0.86237,0.50844,1.41077,0.84397,1.63662,0.0012212,0.0012212,0.0012212
61,5980.75,0.81684,0.60645,1.40345,0.83023,0.82456,0.88177,0.53614,1.38158,0.80246,1.54658,0.001208,0.001208,0.001208
62,6078.38,0.77556,0.58355,1.36767,0.87555,0.80226,0.8738,0.55806,1.33037,0.76636,1.50312,0.0011948,0.0011948,0.0011948
63,6178.73,0.78286,0.57608,1.37722,0.81947,0.83333,0.87504,0.53089,1.38825,0.79633,1.62674,0.0011816,0.0011816,0.0011816
64,6278.52,0.78878,0.58083,1.36996,0.82177,0.84935,0.8909,0.55762,1.34281,0.78279,1.53334,0.0011684,0.0011684,0.0011684
65,6371.55,0.78485,0.5777,1.3726,0.80019,0.80796,0.85211,0.52822,1.353,0.84238,1.5786,0.0011552,0.0011552,0.0011552
66,6471.15,0.77981,0.57907,1.38134,0.77655,0.79825,0.83936,0.52936,1.33994,0.84409,1.55896,0.001142,0.001142,0.001142
67,6572.54,0.77442,0.5677,1.36433,0.83136,0.85526,0.86762,0.54186,1.3645,0.74705,1.56606,0.0011288,0.0011288,0.0011288
68,6662.27,0.7607,0.54729,1.34781,0.8756,0.85526,0.90179,0.54889,1.37254,0.70826,1.6255,0.0011156,0.0011156,0.0011156
69,6761.03,0.76721,0.55831,1.36844,0.86311,0.81579,0.88329,0.56354,1.3223,0.76957,1.51143,0.0011024,0.0011024,0.0011024
70,6863.87,0.77038,0.56487,1.35871,0.81766,0.88507,0.88784,0.55534,1.34815,0.72795,1.55283,0.0010892,0.0010892,0.0010892
71,6958.51,0.75852,0.54301,1.3392,0.86263,0.82456,0.89083,0.5438,1.33953,0.76343,1.56127,0.001076,0.001076,0.001076
72,7048.28,0.74351,0.55068,1.34457,0.77187,0.78947,0.83641,0.47328,1.58562,0.93304,1.779,0.0010628,0.0010628,0.0010628
73,7143.18,0.75742,0.5471,1.3542,0.89597,0.84211,0.89611,0.56247,1.31659,0.71901,1.5211,0.0010496,0.0010496,0.0010496
